WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 296-670-759
INFO:werkzeug: * Detected change in '/Users/raghupathynarayanamoorthy/Desktop/fabrikProject/restAPIlatest.py', reloading
2019-12-06 18:39:06,546 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2019-12-06 18:39:06,547 INFO werkzeug MainThread :  * Restarting with stat
2019-12-06 18:39:07,440 WARNING werkzeug MainThread :  * Debugger is active!
2019-12-06 18:39:07,451 INFO werkzeug MainThread :  * Debugger PIN: 296-670-759
2019-12-06 18:44:15,215 INFO werkzeug MainThread :  * Detected change in '/Users/raghupathynarayanamoorthy/Desktop/fabrikProject/restAPIlatest.py', reloading
2019-12-06 18:44:15,378 INFO werkzeug MainThread :  * Restarting with stat
2019-12-06 18:44:16,591 WARNING werkzeug MainThread :  * Debugger is active!
2019-12-06 18:44:16,601 INFO werkzeug MainThread :  * Debugger PIN: 296-670-759
2019-12-06 18:44:28,700 INFO flask.app Thread-2 : Loading the Home Page
2019-12-06 18:44:28,949 INFO werkzeug Thread-2 : 127.0.0.1 - - [06/Dec/2019 18:44:28] "GET / HTTP/1.1" 200 -
2019-12-06 18:44:32,815 INFO werkzeug Thread-5 : 127.0.0.1 - - [06/Dec/2019 18:44:32] "GET /I3trKV HTTP/1.1" 200 -
2019-12-06 18:44:32,819 INFO werkzeug Thread-3 : 127.0.0.1 - - [06/Dec/2019 18:44:32] "GET /api/minify?url=www.google.com HTTP/1.1" 200 -
2019-12-06 18:44:56,632 INFO werkzeug Thread-6 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?url=https://stackoverflow.com/questions/3702675/how-to-print-the-full-traceback-without-halting-the-program HTTP/1.1" 500 -
2019-12-06 18:44:56,696 INFO werkzeug Thread-7 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2019-12-06 18:44:56,700 INFO werkzeug Thread-8 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
2019-12-06 18:44:56,702 INFO werkzeug Thread-9 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2019-12-06 18:44:56,909 INFO werkzeug Thread-10 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2019-12-06 18:44:56,937 INFO werkzeug Thread-11 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
2019-12-06 18:44:56,989 INFO werkzeug Thread-12 : 127.0.0.1 - - [06/Dec/2019 18:44:56] "GET /api/minify?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2019-12-06 18:47:25,148 INFO werkzeug MainThread :  * Detected change in '/Users/raghupathynarayanamoorthy/Desktop/fabrikProject/restAPIlatest.py', reloading
2019-12-06 18:47:25,283 INFO werkzeug MainThread :  * Restarting with stat
2019-12-06 18:47:26,264 WARNING werkzeug MainThread :  * Debugger is active!
2019-12-06 18:47:26,271 INFO werkzeug MainThread :  * Debugger PIN: 296-670-759
2019-12-06 18:47:36,470 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
